"caseid","age_a","marstat","reldlife","religion","samesex","intvwyear","lifprtnr","timesmar","attnd14","fmarit","gayadopt","lifeprt","sxok18","staytog","prvntdiv","achieve"
80717,31,2,NA,1,1,2018,15,NA,NA,5,NA,NA,NA,NA,NA,NA
80721,17,6,2,3,2,2018,1,NA,6,5,NA,NA,NA,NA,NA,NA
80722,16,6,NA,1,2,2019,2,NA,2,5,NA,NA,NA,NA,NA,NA
80724,49,4,2,4,3,2019,50,2,NA,3,NA,NA,NA,NA,NA,NA
80732,39,6,NA,1,1,2019,0,NA,NA,5,NA,NA,NA,NA,NA,NA
80734,37,1,2,2,2,2018,3,1,NA,1,NA,NA,NA,NA,NA,NA
80735,17,6,1,3,4,2019,0,NA,2,5,NA,NA,NA,NA,NA,NA
80736,40,2,NA,1,1,2019,22,NA,NA,5,NA,NA,NA,NA,NA,NA
80738,46,4,2,3,2,2018,30,1,NA,3,NA,NA,NA,NA,NA,NA
80739,40,1,NA,1,1,2019,5,1,NA,1,NA,NA,NA,NA,NA,NA
80740,31,6,NA,1,1,2017,0,NA,NA,5,NA,NA,NA,NA,NA,NA
80741,34,6,2,4,1,2018,1,NA,NA,5,NA,NA,NA,NA,NA,NA
80745,32,1,1,3,2,2019,4,1,NA,1,NA,NA,NA,NA,NA,NA
80746,17,6,NA,1,1,2019,6,NA,6,5,NA,NA,NA,NA,NA,NA
80748,21,2,1,3,2,2018,1,NA,1,5,NA,NA,NA,NA,NA,NA
80749,17,6,2,2,2,2019,0,NA,1,5,NA,NA,NA,NA,NA,NA
80751,25,2,3,2,2,2019,3,NA,NA,5,NA,NA,NA,NA,NA,NA
80753,22,6,3,3,2,2019,4,NA,6,5,NA,NA,NA,NA,NA,NA
80757,28,6,NA,1,4,2019,6,NA,NA,5,NA,NA,NA,NA,NA,NA
80758,18,2,NA,1,3,2018,10,NA,3,5,NA,NA,NA,NA,NA,NA
80759,40,2,NA,1,3,2018,26,NA,NA,5,NA,NA,NA,NA,NA,NA
80762,45,1,NA,1,5,2019,50,2,NA,1,NA,NA,NA,NA,NA,NA
80765,34,6,2,3,2,2018,4,NA,NA,5,NA,NA,NA,NA,NA,NA
80767,31,6,NA,1,1,2017,12,NA,NA,5,NA,NA,NA,NA,NA,NA
80769,39,1,2,3,3,2018,39,2,NA,1,NA,NA,NA,NA,NA,NA
80770,48,1,1,4,4,2018,3,1,NA,1,NA,NA,NA,NA,NA,NA
80771,16,6,NA,1,2,2019,1,NA,7,5,NA,NA,NA,NA,NA,NA
80774,26,6,NA,1,2,2019,5,NA,NA,5,NA,NA,NA,NA,NA,NA
80775,26,1,3,4,2,2019,11,1,NA,1,NA,NA,NA,NA,NA,NA
80777,29,1,1,3,4,2018,13,1,NA,1,NA,NA,NA,NA,NA,NA
80780,36,2,NA,1,1,2018,9,1,NA,3,NA,NA,NA,NA,NA,NA
80781,26,2,NA,1,3,2018,50,NA,NA,5,NA,NA,NA,NA,NA,NA
80782,33,6,NA,1,1,2018,9,NA,NA,5,NA,NA,NA,NA,NA,NA
80783,15,6,2,3,2,2018,0,NA,4,5,NA,NA,NA,NA,NA,NA
80784,20,6,2,4,1,2019,3,NA,2,5,NA,NA,NA,NA,NA,NA
80786,15,6,2,3,1,2018,0,NA,2,5,NA,NA,NA,NA,NA,NA
80789,18,6,2,3,1,2019,2,NA,5,5,NA,NA,NA,NA,NA,NA
80793,26,6,1,3,4,2019,2,NA,NA,5,NA,NA,NA,NA,NA,NA
80794,35,1,NA,1,1,2018,2,1,NA,1,NA,NA,NA,NA,NA,NA
80798,46,2,NA,1,1,2017,9,NA,NA,5,NA,NA,NA,NA,NA,NA
80799,28,6,1,3,1,2018,7,NA,NA,5,NA,NA,NA,NA,NA,NA
80801,17,6,1,3,4,2019,0,NA,7,5,NA,NA,NA,NA,NA,NA
80803,24,6,2,4,2,2018,6,NA,7,5,NA,NA,NA,NA,NA,NA
80809,23,6,NA,1,1,2019,4,NA,6,5,NA,NA,NA,NA,NA,NA
80810,35,1,2,2,3,2018,11,1,NA,1,NA,NA,NA,NA,NA,NA
80811,26,6,1,3,1,2018,1,NA,NA,5,NA,NA,NA,NA,NA,NA
80813,28,6,2,3,2,2018,4,NA,NA,5,NA,NA,NA,NA,NA,NA
80814,22,6,NA,1,1,2018,0,NA,2,5,NA,NA,NA,NA,NA,NA
80815,19,6,2,2,2,2018,4,NA,3,5,NA,NA,NA,NA,NA,NA
